,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,nandurbar,29.2747,82.1838,65.61,95,100,2.91,NP,1627145495
130,nandurbar,61.994,-49.6678,42.21,97,100,4.52,GL,1627145376
131,nandurbar,19.2833,-81.25,88.93,70,20,8.05,KY,1627145496
132,nandurbar,21.2833,-89.6667,92.1,66,98,10.67,MX,1627145497
133,nandurbar,65.7,82.4667,59.74,89,85,13.67,RU,1627145498
134,nandurbar,63.05,179.3167,50.77,91,100,8.3,RU,1627145498
135,nandurbar,36.6177,-121.9166,66.58,92,90,3.0,US,1627145252
136,nandurbar,45.3714,141.8211,69.49,94,99,10.22,JP,1627145499
137,nandurbar,22.8779,116.067,82.76,83,21,13.18,CN,1627145499
138,nandurbar,23.1333,-101.1167,68.45,51,28,5.26,MX,1627145500
139,nandurbar,25.0213,37.2685,89.26,37,0,9.08,SA,1627145501
140,nandurbar,-0.9492,100.3543,77.97,86,72,3.65,ID,1627145501
141,nandurbar,47.1661,142.0661,69.75,98,95,5.21,RU,1627145502
142,nandurbar,62.5333,155.8,47.82,94,98,5.3,RU,1627145503
143,nandurbar,77.484,-69.3632,40.95,66,79,1.83,GL,1627145378
144,nandurbar,13.7292,5.2975,88.27,48,95,11.43,NG,1627145503
145,nandurbar,-0.9131,122.8766,74.68,74,100,7.65,ID,1627145476
146,nandurbar,-10.5075,-39.0158,66.7,95,100,6.58,BR,1627145504
147,nandurbar,40.5982,-124.1573,58.98,90,20,0.0,US,1627145388
148,nandurbar,63.7506,-68.5145,46.13,76,90,13.8,CA,1627145259
149,nandurbar,34.6391,-120.4579,69.93,90,90,0.0,US,1627145406
150,nandurbar,-20.3428,57.7575,70.05,78,20,5.75,MU,1627145149
151,nandurbar,-21.6403,-41.0511,77.09,58,22,11.88,BR,1627145441
152,nandurbar,32.6667,-17.1,83.71,67,0,5.68,PT,1627145420
153,nandurbar,63.7553,121.6247,61.48,64,17,8.25,RU,1627145423
154,nandurbar,71.6872,128.8694,39.61,91,98,6.13,RU,1627145377
155,nandurbar,71.9167,114.0833,56.57,59,95,7.0,RU,1627145382
156,nandurbar,35.7333,140.8333,75.6,83,0,6.35,JP,1627145449
157,nandurbar,59.3833,143.3,55.9,94,96,10.67,RU,1627145413
158,nandurbar,-25.2986,152.8535,56.03,58,0,12.75,AU,1627145489
159,nandurbar,25.1216,62.3254,82.85,81,95,8.86,PK,1627145358
160,nandurbar,-10.0681,-78.1522,68.77,70,27,8.63,PE,1627145508
161,nandurbar,18.217,-63.0578,85.82,79,20,18.41,AI,1627145492
162,nandurbar,39.447,-86.1758,85.82,71,9,7.2,US,1627145509
163,nandurbar,-5.5569,-80.8222,73.83,60,14,7.23,PE,1627145461
164,nandurbar,42.1167,118.7833,72.32,82,98,8.08,CN,1627145364
165,nandurbar,48.8264,58.1442,79.41,41,50,11.34,KZ,1627145510
166,nandurbar,-35.5333,144.9667,41.0,87,87,16.53,AU,1627145511
167,nandurbar,-17.7125,-39.2481,74.8,66,45,9.57,BR,1627145312
168,nandurbar,59.6652,9.6465,81.19,35,12,7.2,NO,1627145512
169,nandurbar,58.0006,102.6619,62.89,65,34,3.04,RU,1627145334
170,nandurbar,-45.8742,170.5036,42.8,74,58,18.99,NZ,1627145512
171,nandurbar,68.75,161.3,41.04,81,77,2.53,RU,1627145399
172,nandurbar,42.7762,-9.0603,73.69,70,33,5.66,ES,1627145454
173,nandurbar,-28.783,32.0377,57.15,75,22,6.33,ZA,1627145514
174,nandurbar,-22.9661,-42.0278,76.96,57,0,20.71,BR,1627145133
175,nandurbar,40.4272,71.7189,88.52,33,0,6.91,UZ,1627145375
176,nandurbar,-19.7697,-43.8514,75.34,42,0,8.05,BR,1627145515
177,nandurbar,-31.4707,19.776,49.6,22,14,8.93,ZA,1627145516
178,nandurbar,48.5999,-93.4003,82.17,40,1,4.0,CA,1627145219
179,nandurbar,69.4541,-133.0374,55.4,62,40,17.27,CA,1627145411
180,nandurbar,30.4833,-115.95,72.34,75,100,8.61,MX,1627145517
